Year,Month,Station,Peak,Traffic
2011,10,Twinbrook,AM Peak,2384.7
2011,11,Twinbrook,AM Peak,2342.8
2011,12,Twinbrook,AM Peak,2077.1
2012,1,Twinbrook,AM Peak,2246.3
2012,2,Twinbrook,AM Peak,2294.6
2012,3,Twinbrook,AM Peak,2277.2
2012,4,Twinbrook,AM Peak,2249
2012,5,Twinbrook,AM Peak,2296
2012,6,Twinbrook,AM Peak,2336.6
2012,7,Twinbrook,AM Peak,2214.6
2012,8,Twinbrook,AM Peak,2113.7
2012,9,Twinbrook,AM Peak,2253.7
2012,10,Twinbrook,AM Peak,2278.8
2012,11,Twinbrook,AM Peak,2165.1
2012,12,Twinbrook,AM Peak,1876.9
2013,1,Twinbrook,AM Peak,2137.1
2013,2,Twinbrook,AM Peak,2262.3
2013,3,Twinbrook,AM Peak,2194.9
2013,4,Twinbrook,AM Peak,2355.9
2013,5,Twinbrook,AM Peak,2340.5
2013,6,Twinbrook,AM Peak,2434.6
2013,7,Twinbrook,AM Peak,2296
2013,8,Twinbrook,AM Peak,2203.1
2013,9,Twinbrook,AM Peak,2370.4
2013,10,Twinbrook,AM Peak,2103.5
2013,11,Twinbrook,AM Peak,2227.6
2013,12,Twinbrook,AM Peak,1893.7
2014,1,Twinbrook,AM Peak,2053.1
2014,2,Twinbrook,AM Peak,2124.4
2014,3,Twinbrook,AM Peak,2111.1
2014,4,Twinbrook,AM Peak,2281.8
2014,5,Twinbrook,AM Peak,2320.9
2014,6,Twinbrook,AM Peak,2361.5
2014,7,Twinbrook,AM Peak,2309.3
2014,8,Twinbrook,AM Peak,2173.8
2014,9,Twinbrook,AM Peak,2313.7
2014,10,Twinbrook,AM Peak,2274.2
2014,11,Twinbrook,AM Peak,2176.9
2014,12,Twinbrook,AM Peak,1931.6
2013,11,Tysons Corner,AM Peak,1
2013,12,Tysons Corner,AM Peak,0
2014,1,Tysons Corner,AM Peak,1
2014,6,Tysons Corner,AM Peak,5
2014,7,Tysons Corner,AM Peak,179.5
2014,8,Tysons Corner,AM Peak,448.2
2014,9,Tysons Corner,AM Peak,501.6
2014,10,Tysons Corner,AM Peak,496.4
2014,11,Tysons Corner,AM Peak,481.8
2014,12,Tysons Corner,AM Peak,415.9
2010,9,U Street-Cardozo,AM Peak,1958
2010,10,U Street-Cardozo,AM Peak,1955.1
2010,11,U Street-Cardozo,AM Peak,1910
2010,12,U Street-Cardozo,AM Peak,1773.3
2011,1,U Street-Cardozo,AM Peak,2011.6
2011,2,U Street-Cardozo,AM Peak,2134.3
2011,3,U Street-Cardozo,AM Peak,2109.3
2011,4,U Street-Cardozo,AM Peak,1982.2
2011,5,U Street-Cardozo,AM Peak,1990.3
2011,6,U Street-Cardozo,AM Peak,2000.5
2011,7,U Street-Cardozo,AM Peak,1959.3
2011,8,U Street-Cardozo,AM Peak,1797.3
2011,9,U Street-Cardozo,AM Peak,1957.4
2011,10,U Street-Cardozo,AM Peak,2004.8
2011,11,U Street-Cardozo,AM Peak,1953.2
2011,12,U Street-Cardozo,AM Peak,1729.8
2012,1,U Street-Cardozo,AM Peak,2002.1
2012,2,U Street-Cardozo,AM Peak,2069.1
2012,3,U Street-Cardozo,AM Peak,1994
2012,4,U Street-Cardozo,AM Peak,1940.3
2012,5,U Street-Cardozo,AM Peak,1979.6
2012,6,U Street-Cardozo,AM Peak,2087.9
2012,7,U Street-Cardozo,AM Peak,1990.4
2012,8,U Street-Cardozo,AM Peak,1801.9
2012,9,U Street-Cardozo,AM Peak,1952.6
2012,10,U Street-Cardozo,AM Peak,1990.7
2012,11,U Street-Cardozo,AM Peak,1923.5
2012,12,U Street-Cardozo,AM Peak,1674.3
2013,1,U Street-Cardozo,AM Peak,2016.7
2013,2,U Street-Cardozo,AM Peak,2090.1
2013,3,U Street-Cardozo,AM Peak,2006.5
2013,4,U Street-Cardozo,AM Peak,2036.4
2013,5,U Street-Cardozo,AM Peak,1993
2013,6,U Street-Cardozo,AM Peak,2056.7
2013,7,U Street-Cardozo,AM Peak,1980.1
2013,8,U Street-Cardozo,AM Peak,1844.4
2013,9,U Street-Cardozo,AM Peak,2034.3
2013,10,U Street-Cardozo,AM Peak,1956.2
2013,11,U Street-Cardozo,AM Peak,1990.3
2013,12,U Street-Cardozo,AM Peak,1691
2014,1,U Street-Cardozo,AM Peak,2029.8
2014,2,U Street-Cardozo,AM Peak,2078.6
2014,3,U Street-Cardozo,AM Peak,2045.2
2014,4,U Street-Cardozo,AM Peak,2133.5
2014,5,U Street-Cardozo,AM Peak,2076.9
2014,6,U Street-Cardozo,AM Peak,2165
2014,7,U Street-Cardozo,AM Peak,2138
2014,8,U Street-Cardozo,AM Peak,1938.4
2014,9,U Street-Cardozo,AM Peak,2138.5
2014,10,U Street-Cardozo,AM Peak,2144.8
2014,11,U Street-Cardozo,AM Peak,2060.1
2014,12,U Street-Cardozo,AM Peak,1770.7
2010,9,Union Station,AM Peak,9818.1
2010,10,Union Station,AM Peak,9979.6
2010,11,Union Station,AM Peak,9338.9
2010,12,Union Station,AM Peak,8654
2011,1,Union Station,AM Peak,9616.7
2011,2,Union Station,AM Peak,10222.1
2011,3,Union Station,AM Peak,10538.1
2011,4,Union Station,AM Peak,10094.5
2011,5,Union Station,AM Peak,10036.7
2011,6,Union Station,AM Peak,10212.8
2011,7,Union Station,AM Peak,9846.5
2011,8,Union Station,AM Peak,9343.2
2011,9,Union Station,AM Peak,10097.1
2011,10,Union Station,AM Peak,10320.3
2011,11,Union Station,AM Peak,10126.6
2011,12,Union Station,AM Peak,9027.5
2012,1,Union Station,AM Peak,10396.8
2012,2,Union Station,AM Peak,10347.9
2012,3,Union Station,AM Peak,10151.6
2012,4,Union Station,AM Peak,9851.4
2012,5,Union Station,AM Peak,9740
2012,6,Union Station,AM Peak,9533.5
2012,7,Union Station,AM Peak,9367.9
2012,8,Union Station,AM Peak,9034.6
2012,9,Union Station,AM Peak,9461.5
2012,10,Union Station,AM Peak,9316.9
2012,11,Union Station,AM Peak,9141.7
2012,12,Union Station,AM Peak,8107.7
2013,1,Union Station,AM Peak,9413
2013,2,Union Station,AM Peak,10086.9
2013,3,Union Station,AM Peak,9457.6
2013,4,Union Station,AM Peak,9912.7
2013,5,Union Station,AM Peak,9348.8
2013,6,Union Station,AM Peak,9739.1
2013,7,Union Station,AM Peak,9398
2013,8,Union Station,AM Peak,9064.7
2013,9,Union Station,AM Peak,9974.1
2013,10,Union Station,AM Peak,9110.8
2013,11,Union Station,AM Peak,9270.2
2013,12,Union Station,AM Peak,7915.7
2014,1,Union Station,AM Peak,9067.9
2014,2,Union Station,AM Peak,9212.7
2014,3,Union Station,AM Peak,9187.2
2014,4,Union Station,AM Peak,9912.9
2014,5,Union Station,AM Peak,9444
2014,6,Union Station,AM Peak,9899.4
2014,7,Union Station,AM Peak,9431.9
2014,8,Union Station,AM Peak,8823
2014,9,Union Station,AM Peak,9788.1
2014,10,Union Station,AM Peak,9846.8
2014,11,Union Station,AM Peak,9298.1
2014,12,Union Station,AM Peak,8379.3
2010,9,Van Dorn Street,AM Peak,2399.5
2010,10,Van Dorn Street,AM Peak,2420.1
2010,11,Van Dorn Street,AM Peak,2238.8
2010,12,Van Dorn Street,AM Peak,2015.8
2011,1,Van Dorn Street,AM Peak,2222.6
2011,2,Van Dorn Street,AM Peak,2300.7
2011,3,Van Dorn Street,AM Peak,2345.8
2011,4,Van Dorn Street,AM Peak,2325.6
2011,5,Van Dorn Street,AM Peak,2338
2011,6,Van Dorn Street,AM Peak,2511.3
2011,7,Van Dorn Street,AM Peak,2452.2
2011,8,Van Dorn Street,AM Peak,2290.1
2011,9,Van Dorn Street,AM Peak,2351.3
2011,10,Van Dorn Street,AM Peak,2416.3
2011,11,Van Dorn Street,AM Peak,2336.8
2011,12,Van Dorn Street,AM Peak,2094.6
2012,1,Van Dorn Street,AM Peak,2288.4
2012,2,Van Dorn Street,AM Peak,2345.6
2012,3,Van Dorn Street,AM Peak,2377.7
2012,4,Van Dorn Street,AM Peak,2345.7
2012,5,Van Dorn Street,AM Peak,2304.9
2012,6,Van Dorn Street,AM Peak,2432
2012,7,Van Dorn Street,AM Peak,2349.7
2012,8,Van Dorn Street,AM Peak,2171.8
2012,9,Van Dorn Street,AM Peak,2289.9
2012,10,Van Dorn Street,AM Peak,2167.3
2012,11,Van Dorn Street,AM Peak,2148.7
2012,12,Van Dorn Street,AM Peak,1846
2013,1,Van Dorn Street,AM Peak,2130.6
2013,2,Van Dorn Street,AM Peak,2205.4
2013,3,Van Dorn Street,AM Peak,2104.3
2013,4,Van Dorn Street,AM Peak,2272.9
2013,5,Van Dorn Street,AM Peak,2200.8
2013,6,Van Dorn Street,AM Peak,2319.4
2013,7,Van Dorn Street,AM Peak,2229
2013,8,Van Dorn Street,AM Peak,2164.1
2013,9,Van Dorn Street,AM Peak,2262
2013,10,Van Dorn Street,AM Peak,2072.5
2013,11,Van Dorn Street,AM Peak,2082.3
2013,12,Van Dorn Street,AM Peak,1773.3
2014,1,Van Dorn Street,AM Peak,1958.2
2014,2,Van Dorn Street,AM Peak,1999.9
2014,3,Van Dorn Street,AM Peak,1986.7
2014,4,Van Dorn Street,AM Peak,2181.4
2014,5,Van Dorn Street,AM Peak,2164.6
2014,6,Van Dorn Street,AM Peak,2275.1
2014,7,Van Dorn Street,AM Peak,2210.1
2014,8,Van Dorn Street,AM Peak,2125.6
2014,9,Van Dorn Street,AM Peak,2246
2014,10,Van Dorn Street,AM Peak,2264.1
2014,11,Van Dorn Street,AM Peak,2115.3
2014,12,Van Dorn Street,AM Peak,1872.6
2010,9,Van Ness-UDC,AM Peak,2786.9
2010,10,Van Ness-UDC,AM Peak,2083.6
2010,11,Van Ness-UDC,AM Peak,2678.5
2010,12,Van Ness-UDC,AM Peak,2359.2
2011,1,Van Ness-UDC,AM Peak,2747.2
2011,2,Van Ness-UDC,AM Peak,2922.9
2011,3,Van Ness-UDC,AM Peak,2941
2011,4,Van Ness-UDC,AM Peak,2816.5
2011,5,Van Ness-UDC,AM Peak,2828.8
2011,6,Van Ness-UDC,AM Peak,2994.3
2011,7,Van Ness-UDC,AM Peak,2891.5
2011,8,Van Ness-UDC,AM Peak,2619.4
2011,9,Van Ness-UDC,AM Peak,2864.2
2011,10,Van Ness-UDC,AM Peak,2943.8
2011,11,Van Ness-UDC,AM Peak,2808.8
2011,12,Van Ness-UDC,AM Peak,2388.8
2012,1,Van Ness-UDC,AM Peak,2799.7
2012,2,Van Ness-UDC,AM Peak,2914.6
2012,3,Van Ness-UDC,AM Peak,2883
2012,4,Van Ness-UDC,AM Peak,2819.7
2012,5,Van Ness-UDC,AM Peak,2765.9
2012,6,Van Ness-UDC,AM Peak,3004.8
2012,7,Van Ness-UDC,AM Peak,2816.3
2012,8,Van Ness-UDC,AM Peak,2517.3
2012,9,Van Ness-UDC,AM Peak,2810.5
2012,10,Van Ness-UDC,AM Peak,2797.8
2012,11,Van Ness-UDC,AM Peak,2631.2
2012,12,Van Ness-UDC,AM Peak,2192.5
2013,1,Van Ness-UDC,AM Peak,2659.2
2013,2,Van Ness-UDC,AM Peak,2855.5
2013,3,Van Ness-UDC,AM Peak,2679.7
2013,4,Van Ness-UDC,AM Peak,2810.9
2013,5,Van Ness-UDC,AM Peak,2723.4
2013,6,Van Ness-UDC,AM Peak,2931.8
2013,7,Van Ness-UDC,AM Peak,2723
2013,8,Van Ness-UDC,AM Peak,2447.2
2013,9,Van Ness-UDC,AM Peak,2723.4
2013,10,Van Ness-UDC,AM Peak,2619.5
2013,11,Van Ness-UDC,AM Peak,2582.3
2013,12,Van Ness-UDC,AM Peak,2071
2014,1,Van Ness-UDC,AM Peak,2493.6
2014,2,Van Ness-UDC,AM Peak,2576.4
2014,3,Van Ness-UDC,AM Peak,2493.9
2014,4,Van Ness-UDC,AM Peak,2624
2014,5,Van Ness-UDC,AM Peak,2662
2014,6,Van Ness-UDC,AM Peak,2786.6
2014,7,Van Ness-UDC,AM Peak,2649.1
2014,8,Van Ness-UDC,AM Peak,2456.9
2014,9,Van Ness-UDC,AM Peak,2708.1
2014,10,Van Ness-UDC,AM Peak,2604.6
2014,11,Van Ness-UDC,AM Peak,2545.2
2014,12,Van Ness-UDC,AM Peak,2122.9
2010,9,Vienna,AM Peak,9937.5
2010,10,Vienna,AM Peak,10014.6
2010,11,Vienna,AM Peak,9482.1
2010,12,Vienna,AM Peak,8583.1
2011,1,Vienna,AM Peak,9288.9
2011,2,Vienna,AM Peak,9878.3
2011,3,Vienna,AM Peak,10104.6
2011,4,Vienna,AM Peak,9770.9
2011,5,Vienna,AM Peak,9841.9
2011,6,Vienna,AM Peak,10403.5
2011,7,Vienna,AM Peak,10139.4
2011,8,Vienna,AM Peak,9631.2
2011,9,Vienna,AM Peak,10007.1
2011,10,Vienna,AM Peak,10146.5
2011,11,Vienna,AM Peak,9810.6
2011,12,Vienna,AM Peak,8811.6
2012,1,Vienna,AM Peak,9870.5
2012,2,Vienna,AM Peak,9993.2
2012,3,Vienna,AM Peak,9657.6
2012,4,Vienna,AM Peak,9575.9
2012,5,Vienna,AM Peak,9542.9
2012,6,Vienna,AM Peak,9783.2
2012,7,Vienna,AM Peak,9489.1
2012,8,Vienna,AM Peak,8997
2012,9,Vienna,AM Peak,9620.3
2012,10,Vienna,AM Peak,9582.7
2012,11,Vienna,AM Peak,8976.3
2012,12,Vienna,AM Peak,7848.3
2013,1,Vienna,AM Peak,9045
2013,2,Vienna,AM Peak,9548.9
2013,3,Vienna,AM Peak,8777.7
2013,4,Vienna,AM Peak,9607.1
2013,5,Vienna,AM Peak,9424.4
2013,6,Vienna,AM Peak,9754.5
2013,7,Vienna,AM Peak,9398
2013,8,Vienna,AM Peak,8798
2013,9,Vienna,AM Peak,9536.2
2013,10,Vienna,AM Peak,8520.7
2013,11,Vienna,AM Peak,8668.8
2013,12,Vienna,AM Peak,7361
2014,1,Vienna,AM Peak,8104.8
2014,2,Vienna,AM Peak,8050.9
2014,3,Vienna,AM Peak,8264.5
2014,4,Vienna,AM Peak,8823.7
2014,5,Vienna,AM Peak,8699.3
2014,6,Vienna,AM Peak,9091.3
2014,7,Vienna,AM Peak,9014.7
2014,8,Vienna,AM Peak,7916.3
2014,9,Vienna,AM Peak,8394.2
2014,10,Vienna,AM Peak,8500.2
2014,11,Vienna,AM Peak,7569.5
2014,12,Vienna,AM Peak,6811.9
2010,9,Virginia Square-GMU,AM Peak,1807.8
2010,10,Virginia Square-GMU,AM Peak,1824.1
2010,11,Virginia Square-GMU,AM Peak,1734.9
2010,12,Virginia Square-GMU,AM Peak,1529
2011,1,Virginia Square-GMU,AM Peak,1775.3
2011,2,Virginia Square-GMU,AM Peak,1837.8
2011,3,Virginia Square-GMU,AM Peak,1825.3
2011,4,Virginia Square-GMU,AM Peak,1792.9
2011,5,Virginia Square-GMU,AM Peak,1770.9
2011,6,Virginia Square-GMU,AM Peak,1859.2
2011,7,Virginia Square-GMU,AM Peak,1774
2011,8,Virginia Square-GMU,AM Peak,1698.3
2011,9,Virginia Square-GMU,AM Peak,1785.1
2011,10,Virginia Square-GMU,AM Peak,1829.2
2011,11,Virginia Square-GMU,AM Peak,1769.7
2011,12,Virginia Square-GMU,AM Peak,1564
2012,1,Virginia Square-GMU,AM Peak,1818.7
2012,2,Virginia Square-GMU,AM Peak,1860.7
2012,3,Virginia Square-GMU,AM Peak,1820.8
2012,4,Virginia Square-GMU,AM Peak,1792.1
2012,5,Virginia Square-GMU,AM Peak,1761.4
2012,6,Virginia Square-GMU,AM Peak,1849
2012,7,Virginia Square-GMU,AM Peak,1783.1
2012,8,Virginia Square-GMU,AM Peak,1686.7
2012,9,Virginia Square-GMU,AM Peak,1858.4
2012,10,Virginia Square-GMU,AM Peak,1870
2012,11,Virginia Square-GMU,AM Peak,1756.6
2012,12,Virginia Square-GMU,AM Peak,1476.5
2013,1,Virginia Square-GMU,AM Peak,1808.7
2013,2,Virginia Square-GMU,AM Peak,1896.1
2013,3,Virginia Square-GMU,AM Peak,1759.6
2013,4,Virginia Square-GMU,AM Peak,1861.5
2013,5,Virginia Square-GMU,AM Peak,1788.7
2013,6,Virginia Square-GMU,AM Peak,1889.1
2013,7,Virginia Square-GMU,AM Peak,1791.2
2013,8,Virginia Square-GMU,AM Peak,1715.7
2013,9,Virginia Square-GMU,AM Peak,1850.5
2013,10,Virginia Square-GMU,AM Peak,1740
2013,11,Virginia Square-GMU,AM Peak,1740.9
2013,12,Virginia Square-GMU,AM Peak,1429.1
2014,1,Virginia Square-GMU,AM Peak,1714.4
2014,2,Virginia Square-GMU,AM Peak,1761.1
2014,3,Virginia Square-GMU,AM Peak,1699.4
2014,4,Virginia Square-GMU,AM Peak,1842.8
2014,5,Virginia Square-GMU,AM Peak,1773.3
2014,6,Virginia Square-GMU,AM Peak,1832.8
2014,7,Virginia Square-GMU,AM Peak,1795.6
2014,8,Virginia Square-GMU,AM Peak,1699.9
2014,9,Virginia Square-GMU,AM Peak,1903.4
2014,10,Virginia Square-GMU,AM Peak,1928.6
2014,11,Virginia Square-GMU,AM Peak,1818.8
2014,12,Virginia Square-GMU,AM Peak,1564.3
2010,9,Waterfront,AM Peak,1220
2010,10,Waterfront,AM Peak,1231.2
2010,11,Waterfront,AM Peak,1187.3
2010,12,Waterfront,AM Peak,1054.1
2011,1,Waterfront,AM Peak,1194.9
2011,2,Waterfront,AM Peak,1268.5
2011,3,Waterfront,AM Peak,1262.6
2011,4,Waterfront,AM Peak,1196.8
2011,5,Waterfront,AM Peak,1226.5
2011,6,Waterfront,AM Peak,1246.4
2011,7,Waterfront,AM Peak,1242.2
2011,8,Waterfront,AM Peak,1173.3
2011,9,Waterfront,AM Peak,1339.2
2011,10,Waterfront,AM Peak,1357.1
2011,11,Waterfront,AM Peak,1306.7
2011,12,Waterfront,AM Peak,1141.2
2012,1,Waterfront,AM Peak,1348.7
2012,2,Waterfront,AM Peak,1383.1
2012,3,Waterfront,AM Peak,1363.6
2012,4,Waterfront,AM Peak,1301.2
2012,5,Waterfront,AM Peak,1357.6
2012,6,Waterfront,AM Peak,1333
2012,7,Waterfront,AM Peak,1293
2012,8,Waterfront,AM Peak,1244.8
2012,9,Waterfront,AM Peak,1419.9
2012,10,Waterfront,AM Peak,1417.1
2012,11,Waterfront,AM Peak,1341.4
2012,12,Waterfront,AM Peak,1145.3
2013,1,Waterfront,AM Peak,1364.3
2013,2,Waterfront,AM Peak,1423.7
2013,3,Waterfront,AM Peak,1371.3
2013,4,Waterfront,AM Peak,1339.3
2013,5,Waterfront,AM Peak,1323
2013,6,Waterfront,AM Peak,1303.4
2013,7,Waterfront,AM Peak,1239.4
2013,8,Waterfront,AM Peak,1184.5
2013,9,Waterfront,AM Peak,1303.8
2013,10,Waterfront,AM Peak,1228.6
2013,11,Waterfront,AM Peak,1239.6
2013,12,Waterfront,AM Peak,1041.4
2014,1,Waterfront,AM Peak,1211.3
2014,2,Waterfront,AM Peak,1254.8
2014,3,Waterfront,AM Peak,1218.9
2014,4,Waterfront,AM Peak,1264.3
2014,5,Waterfront,AM Peak,1247.1
2014,6,Waterfront,AM Peak,1273
2014,7,Waterfront,AM Peak,1312.6
2014,8,Waterfront,AM Peak,1252
2014,9,Waterfront,AM Peak,1423.9
2014,10,Waterfront,AM Peak,1416.8
2014,11,Waterfront,AM Peak,1326.9
2014,12,Waterfront,AM Peak,1152.1
2010,9,West Falls Church,AM Peak,6780
2010,10,West Falls Church,AM Peak,6915.7
2010,11,West Falls Church,AM Peak,6531.7
2010,12,West Falls Church,AM Peak,5909.2
2011,1,West Falls Church,AM Peak,6443.5
2011,2,West Falls Church,AM Peak,6804.9
2011,3,West Falls Church,AM Peak,6966.5
2011,4,West Falls Church,AM Peak,6772.3
2011,5,West Falls Church,AM Peak,6922.5
2011,6,West Falls Church,AM Peak,7100
2011,7,West Falls Church,AM Peak,6843.2
2011,8,West Falls Church,AM Peak,6526.3
2011,9,West Falls Church,AM Peak,7019.1
2011,10,West Falls Church,AM Peak,7208.2
2011,11,West Falls Church,AM Peak,6946.1
2011,12,West Falls Church,AM Peak,6142.8
2012,1,West Falls Church,AM Peak,6999.7
2012,2,West Falls Church,AM Peak,7114.3
2012,3,West Falls Church,AM Peak,7007.3
2012,4,West Falls Church,AM Peak,6852.7
2012,5,West Falls Church,AM Peak,6947.8
2012,6,West Falls Church,AM Peak,7102.1
2012,7,West Falls Church,AM Peak,6721.9
2012,8,West Falls Church,AM Peak,6405
2012,9,West Falls Church,AM Peak,7014.1
2012,10,West Falls Church,AM Peak,6338.3
2012,11,West Falls Church,AM Peak,6462.2
2012,12,West Falls Church,AM Peak,5598.8
2013,1,West Falls Church,AM Peak,6529.2
2013,2,West Falls Church,AM Peak,6901.2
2013,3,West Falls Church,AM Peak,6277.8
2013,4,West Falls Church,AM Peak,6937
2013,5,West Falls Church,AM Peak,6799.4
2013,6,West Falls Church,AM Peak,7016.1
2013,7,West Falls Church,AM Peak,6678.5
2013,8,West Falls Church,AM Peak,6272.9
2013,9,West Falls Church,AM Peak,6853
2013,10,West Falls Church,AM Peak,6210.6
2013,11,West Falls Church,AM Peak,6417.8
2013,12,West Falls Church,AM Peak,5365.1
2014,1,West Falls Church,AM Peak,5958.5
2014,2,West Falls Church,AM Peak,6226.9
2014,3,West Falls Church,AM Peak,6057.1
2014,4,West Falls Church,AM Peak,6790
2014,5,West Falls Church,AM Peak,6802.7
2014,6,West Falls Church,AM Peak,7044.8
2014,7,West Falls Church,AM Peak,5990.4
2014,8,West Falls Church,AM Peak,2087.3
2014,9,West Falls Church,AM Peak,2338.9
2014,10,West Falls Church,AM Peak,2324.3
2014,11,West Falls Church,AM Peak,2156.1
2014,12,West Falls Church,AM Peak,1871.6
2010,9,West Hyattsville,AM Peak,2127.5
2010,10,West Hyattsville,AM Peak,2068.3
2010,11,West Hyattsville,AM Peak,1998.6
2010,12,West Hyattsville,AM Peak,1820.8
2011,1,West Hyattsville,AM Peak,1856.8
2011,2,West Hyattsville,AM Peak,1998.1
2011,3,West Hyattsville,AM Peak,2056.7
2011,4,West Hyattsville,AM Peak,2061.3
2011,5,West Hyattsville,AM Peak,2148.5
2011,6,West Hyattsville,AM Peak,2142.8
2011,7,West Hyattsville,AM Peak,2090.2
2011,8,West Hyattsville,AM Peak,2036.2
2011,9,West Hyattsville,AM Peak,2148.8
2011,10,West Hyattsville,AM Peak,2208.8
2011,11,West Hyattsville,AM Peak,2140.1
2011,12,West Hyattsville,AM Peak,1996.4
2012,1,West Hyattsville,AM Peak,2102
2012,2,West Hyattsville,AM Peak,2191.8
2012,3,West Hyattsville,AM Peak,2220.7
2012,4,West Hyattsville,AM Peak,2187.8
2012,5,West Hyattsville,AM Peak,2190.4
2012,6,West Hyattsville,AM Peak,2199.4
2012,7,West Hyattsville,AM Peak,2082.1
2012,8,West Hyattsville,AM Peak,2068.2
2012,9,West Hyattsville,AM Peak,2237.1
2012,10,West Hyattsville,AM Peak,2101.3
2012,11,West Hyattsville,AM Peak,2071
2012,12,West Hyattsville,AM Peak,1868
2013,1,West Hyattsville,AM Peak,1996.4
2013,2,West Hyattsville,AM Peak,2143.2
2013,3,West Hyattsville,AM Peak,2082
2013,4,West Hyattsville,AM Peak,2157.1
2013,5,West Hyattsville,AM Peak,2189.7
2013,6,West Hyattsville,AM Peak,2168
2013,7,West Hyattsville,AM Peak,2119.5
2013,8,West Hyattsville,AM Peak,2096.3
2013,9,West Hyattsville,AM Peak,2255.2
2013,10,West Hyattsville,AM Peak,2105.2
2013,11,West Hyattsville,AM Peak,2116.6
2013,12,West Hyattsville,AM Peak,1868.7
2014,1,West Hyattsville,AM Peak,1902.7
2014,2,West Hyattsville,AM Peak,2007.7
2014,3,West Hyattsville,AM Peak,2033.7
2014,4,West Hyattsville,AM Peak,2196.4
2014,5,West Hyattsville,AM Peak,2257.2
2014,6,West Hyattsville,AM Peak,2256.6
2014,7,West Hyattsville,AM Peak,2186.9
2014,8,West Hyattsville,AM Peak,2132.4
2014,9,West Hyattsville,AM Peak,2338
2014,10,West Hyattsville,AM Peak,2296.9
2014,11,West Hyattsville,AM Peak,2138.2
2014,12,West Hyattsville,AM Peak,1930.6
2010,9,Wheaton,AM Peak,2220.8
2010,10,Wheaton,AM Peak,2284.8
2010,11,Wheaton,AM Peak,2177.3
2010,12,Wheaton,AM Peak,1958.9
2011,1,Wheaton,AM Peak,2112.8
2011,2,Wheaton,AM Peak,2270.8
2011,3,Wheaton,AM Peak,2349.8
2011,4,Wheaton,AM Peak,2233.9
2011,5,Wheaton,AM Peak,2302.9
2011,6,Wheaton,AM Peak,2335.8
2011,7,Wheaton,AM Peak,2238
2011,8,Wheaton,AM Peak,2085.8
2011,9,Wheaton,AM Peak,2275.3
2011,10,Wheaton,AM Peak,2329.8
2011,11,Wheaton,AM Peak,2289.8
2011,12,Wheaton,AM Peak,2011.8
2012,1,Wheaton,AM Peak,2250.9
2012,2,Wheaton,AM Peak,2344.6
2012,3,Wheaton,AM Peak,2309.7
2012,4,Wheaton,AM Peak,2192.9
2012,5,Wheaton,AM Peak,2177.8
2012,6,Wheaton,AM Peak,2164
2012,7,Wheaton,AM Peak,2061.3
2012,8,Wheaton,AM Peak,1983.1
2012,9,Wheaton,AM Peak,2143.5
2012,10,Wheaton,AM Peak,1953
2012,11,Wheaton,AM Peak,2056
2012,12,Wheaton,AM Peak,1801
2013,1,Wheaton,AM Peak,2017.7
2013,2,Wheaton,AM Peak,2136.5
2013,3,Wheaton,AM Peak,1999.1
2013,4,Wheaton,AM Peak,2124.2
2013,5,Wheaton,AM Peak,2072.1
2013,6,Wheaton,AM Peak,2139.6
2013,7,Wheaton,AM Peak,2033.4
2013,8,Wheaton,AM Peak,1981.3
2013,9,Wheaton,AM Peak,2121.5
2013,10,Wheaton,AM Peak,1980.9
2013,11,Wheaton,AM Peak,2032.6
2013,12,Wheaton,AM Peak,1721.9
2014,1,Wheaton,AM Peak,1871
2014,2,Wheaton,AM Peak,1952.7
2014,3,Wheaton,AM Peak,1982.9
2014,4,Wheaton,AM Peak,2142
2014,5,Wheaton,AM Peak,2163.3
2014,6,Wheaton,AM Peak,2192.4
2014,7,Wheaton,AM Peak,2144.3
2014,8,Wheaton,AM Peak,2012.1
2014,9,Wheaton,AM Peak,2204.1
2014,10,Wheaton,AM Peak,2206
2014,11,Wheaton,AM Peak,2104.3
2014,12,Wheaton,AM Peak,1872.9
2010,9,White Flint,AM Peak,1634.3
2010,10,White Flint,AM Peak,1662.1
2010,11,White Flint,AM Peak,1550
2010,12,White Flint,AM Peak,1391.6
2011,1,White Flint,AM Peak,1502.9
2011,2,White Flint,AM Peak,1632.8
2011,3,White Flint,AM Peak,1651.4
2011,4,White Flint,AM Peak,1604.8
2011,5,White Flint,AM Peak,1671.2
2011,6,White Flint,AM Peak,1694.7
2011,7,White Flint,AM Peak,1648.3
2011,8,White Flint,AM Peak,1536.5
2011,9,White Flint,AM Peak,1725.4
2011,10,White Flint,AM Peak,1748.7
2011,11,White Flint,AM Peak,1716.1
2011,12,White Flint,AM Peak,1495.7
2012,1,White Flint,AM Peak,1639
2012,2,White Flint,AM Peak,1688.3
2012,3,White Flint,AM Peak,1656
2012,4,White Flint,AM Peak,1612.6
2012,5,White Flint,AM Peak,1626.3
2012,6,White Flint,AM Peak,1638.2
2012,7,White Flint,AM Peak,1577
2012,8,White Flint,AM Peak,1472.7
2012,9,White Flint,AM Peak,1608.7
2012,10,White Flint,AM Peak,1599.4
2012,11,White Flint,AM Peak,1539
2012,12,White Flint,AM Peak,1324.9
2013,1,White Flint,AM Peak,1502.1
2013,2,White Flint,AM Peak,1569.1
2013,3,White Flint,AM Peak,1514.3
2013,4,White Flint,AM Peak,1650.6
